Time;Displacement;Force;Velocity;Current
0,000;0,000;-71,500;0,000;0,563
0,000;0,000;547,173;23,562;0,563
0,000;0,000;547,173;23,562;0,563
0,000;0,000;547,173;23,562;0,563
0,000;0,000;547,178;23,562;0,563
0,000;0,000;547,183;23,562;0,563
0,000;0,000;547,188;23,562;0,563
0,000;0,000;547,239;23,562;0,563
0,000;0,000;547,290;23,562;0,563
0,000;0,000;547,340;23,562;0,563
0,000;0,000;547,845;23,562;0,563
0,000;0,000;548,351;23,562;0,563
0,000;0,000;548,856;23,562;0,563
0,000;0,000;553,907;23,562;0,563
0,000;0,000;558,953;23,562;0,563
0,000;0,000;563,995;23,562;0,563
0,000;0,000;569,032;23,562;0,563
0,000;0,000;614,767;23,562;0,563
0,000;0,000;659,886;23,562;0,563
0,000;0,000;704,218;23,562;0,563
0,000;0,000;747,609;23,562;0,563
0,000;0,001;789,925;23,562;0,563
0,000;0,001;923,415;23,562;0,563
0,000;0,001;1040,458;23,562;0,563
0,000;0,002;1140,105;23,562;0,563
0,000;0,002;1222,986;23,562;0,563
0,000;0,002;1290,707;23,562;0,563
0,000;0,003;1345,306;23,562;0,563
0,000;0,003;1410,421;23,562;0,563
0,000;0,004;1454,936;23,562;0,563
0,000;0,005;1485,010;23,562;0,563
0,000;0,005;1505,199;23,562;0,563
0,000;0,006;1518,683;23,562;0,563
0,000;0,007;1530,870;23,562;0,563
0,000;0,007;1537,326;23,562;0,563
0,000;0,008;1540,628;23,562;0,563
0,000;0,009;1542,404;23,562;0,563
0,000;0,010;1543,497;23,561;0,563
0,000;0,011;1544,172;23,561;0,563
0,001;0,012;1545,051;23,561;0,563
0,001;0,014;1545,436;23,561;0,563
0,001;0,016;1545,394;23,561;0,563
0,001;0,017;1545,125;23,561;0,563
0,001;0,019;1544,967;23,560;0,563
0,001;0,020;1545,064;23,560;0,563
0,001;0,023;1545,136;23,559;0,563
0,001;0,027;1545,126;23,559;0,563
0,001;0,030;1545,092;23,558;0,563
0,001;0,033;1545,097;23,557;0,563
0,002;0,036;1545,124;23,556;0,563
0,002;0,054;1545,265;23,551;0,563
0,003;0,071;1545,271;23,541;0,563
0,004;0,089;1545,184;23,528;0,563
0,005;0,106;1545,013;23,512;0,563
0,011;0,267;1543,574;23,367;0,563
0,018;0,424;1534,013;22,915;0,563
0,025;0,577;1517,356;22,196;0,563
0,034;0,754;1490,877;21,090;0,563
0,042;0,918;1452,297;19,532;0,563
0,050;1,066;1404,554;17,635;0,563
0,059;1,195;1348,472;15,432;0,563
0,076;1,395;1248,348;11,523;0,563
0,093;1,492;1093,511;5,597;0,563
0,093;1,492;1012,199;2,500;0,563
0,093;1,492;985,563;2,449;0,563
0,093;1,492;961,151;2,432;0,563
0,093;1,492;938,082;2,415;0,563
0,094;1,493;817,309;2,353;0,563
0,094;1,493;786,599;2,281;0,563
0,094;1,493;759,260;2,248;0,563
0,094;1,493;734,201;2,214;0,563
0,094;1,494;711,213;2,180;0,563
0,094;1,494;661,873;2,121;0,563
0,095;1,495;620,484;2,035;0,563
0,095;1,495;584,642;1,950;0,563
0,095;1,496;552,384;1,864;0,563
0,095;1,496;516,579;1,769;0,563
0,096;1,496;482,967;1,663;0,563
0,096;1,497;450,555;1,557;0,563
0,096;1,497;418,740;1,451;0,563
0,097;1,498;387,299;1,345;0,563
0,097;1,498;334,422;1,193;0,563
0,098;1,499;280,763;0,995;0,563
0,098;1,499;225,603;0,796;0,563
0,099;1,500;169,119;0,597;0,563
0,099;1,500;98,484;0,369;0,563
0,100;1,500;26,314;0,109;0,563
0,101;1,500;-47,387;-0,150;0,563
0,101;1,500;-58,750;-0,294;0,563
0,101;1,500;-64,151;-0,500;0,563
0,101;1,500;-63,716;-0,314;0,563
0,101;1,500;-68,067;-0,324;0,563
0,101;1,500;-72,313;-0,335;0,563
0,101;1,500;-89,593;-0,363;0,563
0,101;1,500;-106,509;-0,410;0,563
0,101;1,500;-122,808;-0,457;0,563
0,102;1,500;-154,020;-0,530;0,563
0,102;1,499;-184,059;-0,630;0,563
0,102;1,499;-213,315;-0,730;0,563
0,102;1,499;-242,230;-0,830;0,563
0,103;1,499;-275,148;-0,939;0,563
0,103;1,498;-308,232;-1,056;0,563
0,103;1,498;-341,320;-1,174;0,563
0,104;1,497;-379,427;-1,303;0,563
0,104;1,497;-417,926;-1,443;0,563
0,104;1,496;-456,515;-1,583;0,563
0,105;1,495;-502,793;-1,740;0,563
0,105;1,495;-549,199;-1,914;0,563
0,106;1,494;-595,688;-2,088;0,563
0,106;1,493;-642,127;-2,262;0,563
0,107;1,492;-683,819;-2,425;0,563
0,107;1,490;-724,601;-2,579;0,563
0,108;1,489;-764,569;-2,732;0,563
0,108;1,487;-828,699;-2,946;0,563
0,109;1,485;-891,191;-3,221;0,563
0,110;1,482;-951,276;-3,496;0,563
0,111;1,479;-1007,528;-3,769;0,563
0,112;1,475;-1070,868;-4,090;0,563
0,113;1,471;-1121,316;-4,457;0,563
0,114;1,466;-1156,844;-4,822;0,563
0,115;1,461;-1179,489;-5,186;0,563
0,116;1,455;-1193,509;-5,543;0,563
0,117;1,449;-1203,718;-5,891;0,563
0,118;1,443;-1212,833;-6,239;0,563
0,119;1,437;-1221,874;-6,584;0,563
0,124;1,396;-1251,268;-7,685;0,563
0,129;1,346;-1299,706;-9,505;0,563
0,134;1,287;-1346,567;-11,260;0,563
0,150;1,068;-1432,016;-14,400;0,563
0,165;0,788;-1541,436;-18,388;0,563
0,169;0,694;-1596,979;-20,476;0,563
0,174;0,597;-1618,812;-21,258;0,563
0,178;0,497;-1638,010;-21,930;0,563
0,183;0,395;-1654,214;-22,490;0,563
0,194;0,144;-1675,128;-23,148;0,563
0,205;-0,110;-1688,963;-23,532;0,563
0,216;-0,362;-1684,960;-23,238;0,563
0,226;-0,603;-1663,155;-22,273;0,563
0,248;-1,020;-1599,103;-19,608;0,563
0,269;-1,324;-1463,913;-14,308;0,563
0,290;-1,482;-1284,754;-7,428;0,563
0,290;-1,482;-1186,666;-3,692;0,563
0,291;-1,486;-1106,339;-3,420;0,563
0,291;-1,486;-1097,392;-3,191;0,563
0,291;-1,486;-1094,020;-3,184;0,563
0,291;-1,486;-1090,644;-3,176;0,563
0,292;-1,487;-1070,162;-3,145;0,563
0,292;-1,487;-1050,261;-3,090;0,563
0,292;-1,488;-1031,206;-3,036;0,563
0,292;-1,489;-999,296;-2,958;0,563
0,292;-1,489;-968,576;-2,857;0,563
0,293;-1,490;-938,616;-2,756;0,563
0,293;-1,491;-908,970;-2,655;0,563
0,293;-1,492;-875,572;-2,546;0,563
0,294;-1,492;-841,930;-2,429;0,563
0,294;-1,493;-808,168;-2,311;0,563
0,294;-1,494;-771,015;-2,187;0,563
0,295;-1,495;-733,456;-2,055;0,563
0,295;-1,495;-695,668;-1,923;0,563
0,295;-1,496;-652,503;-1,780;0,563
0,296;-1,497;-608,961;-1,626;0,563
0,296;-1,497;-565,027;-1,472;0,563
0,297;-1,498;-520,750;-1,318;0,563
0,297;-1,498;-480,155;-1,172;0,563
0,297;-1,499;-439,625;-1,033;0,563
0,298;-1,499;-399,230;-0,895;0,563
0,298;-1,499;-358,995;-0,757;0,563
0,299;-1,500;-315,761;-0,612;0,563
0,299;-1,500;-272,453;-0,461;0,563
0,299;-1,500;-228,999;-0,310;0,563
0,300;-1,500;-185,390;-0,159;0,563
0,300;-1,500;-135,318;0,006;0,563
0,301;-1,500;-87,628;0,179;0,563
0,301;-1,500;-85,768;0,250;0,563
0,301;-1,500;-62,304;0,299;0,563
0,301;-1,500;-39,269;0,370;0,563
0,301;-1,500;-16,874;0,442;0,563
0,302;-1,500;12,217;0,528;0,563
0,302;-1,499;41,230;0,627;0,563
0,302;-1,499;70,046;0,727;0,563
0,302;-1,499;103,144;0,836;0,563
0,303;-1,499;136,470;0,955;0,563
0,303;-1,498;169,838;1,073;0,563
0,303;-1,498;208,053;1,203;0,563
0,304;-1,497;246,668;1,343;0,563
0,304;-1,497;285,388;1,482;0,563
0,305;-1,496;327,787;1,630;0,563
0,305;-1,495;370,198;1,786;0,563
0,305;-1,494;412,541;1,942;0,563
0,306;-1,494;454,733;2,098;0,563
0,306;-1,493;494,600;2,249;0,563
0,307;-1,492;533,919;2,395;0,563
0,307;-1,491;572,684;2,542;0,563
0,308;-1,489;635,706;2,748;0,563
0,309;-1,487;697,888;3,013;0,563
0,309;-1,484;758,763;3,278;0,563
0,310;-1,482;817,152;3,542;0,563
0,311;-1,478;889,069;3,863;0,563
0,312;-1,473;949,520;4,241;0,563
0,313;-1,468;994,978;4,617;0,563
0,314;-1,463;1025,309;4,992;0,563
0,315;-1,460;1039,825;5,298;0,563
0,315;-1,456;1049,223;5,535;0,563
0,316;-1,452;1056,715;5,772;0,563
0,317;-1,448;1063,326;6,009;0,563
0,318;-1,442;1071,442;6,314;0,563
0,319;-1,435;1081,513;6,689;0,563
0,320;-1,427;1091,554;7,061;0,563
0,321;-1,419;1101,262;7,432;0,563
0,322;-1,411;1110,715;7,800;0,563
0,325;-1,382;1131,324;8,571;0,563
0,329;-1,349;1162,298;9,730;0,563
0,332;-1,312;1192,364;10,861;0,563
0,336;-1,271;1221,837;11,961;0,563
0,343;-1,177;1265,393;13,568;0,563
0,350;-1,068;1319,849;15,591;0,563
0,357;-0,947;1369,839;17,427;0,563
0,363;-0,814;1414,504;19,054;0,563
0,380;-0,461;1476,747;21,229;0,563
0,397;-0,076;1531,893;23,109;0,563
0,413;0,313;1545,454;23,420;0,563
0,430;0,682;1518,045;22,142;0,563
0,435;0,775;1478,258;20,592;0,563
0,439;0,864;1456,702;19,729;0,563
0,444;0,949;1432,653;18,766;0,563
0,458;1,181;1375,182;16,454;0,563
0,472;1,356;1269,622;12,347;0,563
0,486;1,464;1146,963;7,633;0,563
0,493;1,491;1047,418;3,837;0,563
0,493;1,491;1010,660;2,438;0,563
0,493;1,491;989,607;2,529;0,563
0,493;1,492;967,235;2,513;0,563
0,493;1,492;946,088;2,496;0,563
0,493;1,492;907,551;2,472;0,563
0,493;1,492;872,551;2,440;0,563
0,494;1,492;840,899;2,408;0,563
0,494;1,492;812,183;2,376;0,563
0,494;1,493;727,984;2,298;0,563
0,494;1,494;665,740;2,176;0,563
0,495;1,495;614,957;2,054;0,563
0,495;1,495;570,005;1,932;0,563
0,495;1,496;528,630;1,809;0,563
0,496;1,496;486,577;1,681;0,563
0,496;1,497;446,243;1,547;0,563
0,496;1,498;406,693;1,413;0,563
0,497;1,498;367,412;1,279;0,563
0,497;1,498;328,261;1,144;0,563
0,498;1,499;268,354;0,964;0,563
0,498;1,499;207,136;0,739;0,563
0,499;1,500;144,037;0,513;0,563
0,500;1,500;79,498;0,287;0,563
0,500;1,500;7,740;0,047;0,563
0,501;1,500;-56,016;-0,192;0,563
0,501;1,500;-59,168;-0,313;0,563
0,501;1,500;-71,249;-0,320;0,563
0,501;1,500;-83,429;-0,351;0,563
0,501;1,500;-95,211;-0,383;0,563
0,501;1,500;-121,710;-0,438;0,563
0,502;1,500;-147,004;-0,516;0,563
0,502;1,499;-171,308;-0,594;0,563
0,502;1,499;-195,028;-0,673;0,563
0,502;1,499;-238,266;-0,792;0,563
0,503;1,499;-281,385;-0,952;0,563
0,503;1,498;-325,018;-1,112;0,563
0,504;1,498;-369,290;-1,272;0,563
0,504;1,497;-433,346;-1,477;0,563
0,505;1,495;-498,698;-1,726;0,563
0,506;1,494;-565,127;-1,976;0,563
0,506;1,493;-631,987;-2,225;0,563
0,507;1,491;-680,535;-2,432;0,563
0,507;1,490;-726,650;-2,599;0,563
0,508;1,489;-771,113;-2,766;0,563
0,509;1,486;-846,493;-3,012;0,563
0,509;1,483;-918,517;-3,337;0,563
0,510;1,480;-986,418;-3,662;0,563
0,511;1,477;-1047,771;-3,985;0,563
0,512;1,472;-1103,915;-4,329;0,563
0,513;1,468;-1145,316;-4,692;0,563
0,514;1,463;-1172,326;-5,053;0,563
0,515;1,457;-1189,056;-5,414;0,563
0,516;1,451;-1200,449;-5,773;0,563
0,518;1,443;-1211,415;-6,190;0,563
0,519;1,434;-1223,826;-6,664;0,563
0,520;1,425;-1236,611;-7,135;0,563
0,522;1,415;-1249,160;-7,603;0,563
0,523;1,404;-1261,231;-8,068;0,563
0,526;1,377;-1281,181;-8,817;0,563
0,529;1,348;-1308,527;-9,840;0,563
0,532;1,315;-1335,288;-10,842;0,563
0,535;1,279;-1361,359;-11,818;0,563
0,548;1,095;-1427,488;-14,248;0,563
0,561;0,866;-1522,181;-17,730;0,563
0,574;0,601;-1598,453;-20,483;0,563
0,587;0,312;-1653,031;-22,394;0,563
0,604;-0,084;-1685,995;-23,424;0,563
0,620;-0,473;-1682,564;-23,078;0,563
0,637;-0,829;-1636,103;-21,121;0,563
0,654;-1,128;-1550,134;-17,689;0,563
0,682;-1,443;-1383,069;-11,174;0,563
0,697;-1,498;-1191,123;-3,840;0,563
0,697;-1,498;-1121,482;-1,188;0,563
0,697;-1,498;-1095,135;-1,198;0,563
0,697;-1,498;-1069,198;-1,189;0,563
0,697;-1,498;-1044,154;-1,180;0,563
0,697;-1,498;-955,118;-1,158;0,563
0,697;-1,498;-876,775;-1,123;0,563
0,697;-1,498;-808,084;-1,088;0,563
0,697;-1,499;-747,715;-1,053;0,563
0,697;-1,499;-620,170;-0,988;0,563
0,698;-1,499;-527,459;-0,893;0,563
0,698;-1,499;-456,905;-0,798;0,563
0,698;-1,499;-400,520;-0,703;0,563
0,698;-1,500;-353,662;-0,609;0,563
0,699;-1,500;-310,041;-0,509;0,563
0,699;-1,500;-271,465;-0,405;0,563
0,699;-1,500;-236,009;-0,301;0,563
0,700;-1,500;-202,443;-0,196;0,563
0,700;-1,500;-170,076;-0,092;0,563
0,700;-1,500;-119,637;0,050;0,563
0,701;-1,500;-86,935;0,199;0,563
0,701;-1,500;-85,584;0,250;0,563
0,701;-1,500;-63,104;0,292;0,563
0,701;-1,500;-40,831;0,362;0,563
0,701;-1,500;-19,110;0,432;0,563
0,702;-1,500;9,736;0,517;0,563
0,702;-1,499;38,607;0,617;0,563
0,702;-1,499;67,345;0,717;0,563
0,702;-1,499;101,155;0,828;0,563
0,703;-1,499;135,306;0,950;0,563
0,703;-1,498;169,557;1,072;0,563
0,703;-1,498;207,388;1,202;0,563
0,704;-1,497;245,513;1,339;0,563
0,704;-1,497;283,696;1,477;0,563
0,705;-1,496;323,429;1,618;0,563
0,705;-1,495;363,173;1,763;0,563
0,705;-1,495;402,770;1,907;0,563
0,706;-1,494;442,032;2,052;0,563
0,706;-1,493;480,993;2,196;0,563
0,707;-1,492;519,573;2,340;0,563
0,707;-1,490;583,754;2,545;0,563
0,708;-1,488;647,751;2,813;0,563
0,709;-1,486;711,258;3,079;0,563
0,709;-1,484;773,110;3,346;0,563
0,710;-1,480;839,195;3,634;0,563
0,711;-1,477;898,560;3,943;0,563
0,712;-1,474;948,764;4,253;0,563
0,713;-1,470;988,149;4,561;0,563
0,714;-1,462;1030,565;5,007;0,563
0,716;-1,455;1048,865;5,508;0,563
0,717;-1,448;1060,711;5,924;0,563
0,718;-1,441;1072,200;6,338;0,563
0,719;-1,433;1083,275;6,750;0,563
0,720;-1,425;1094,047;7,159;0,563
0,724;-1,399;1114,867;7,943;0,563
0,727;-1,368;1145,183;9,087;0,563
0,730;-1,335;1175,141;10,207;0,563
0,734;-1,297;1204,374;11,299;0,563
0,741;-1,198;1251,010;13,027;0,563
0,749;-1,081;1312,121;15,279;0,563
0,756;-0,949;1365,333;17,312;0,563
0,759;-0,907;1398,974;18,512;0,563
0,761;-0,863;1413,262;19,024;0,563
0,763;-0,818;1426,588;19,511;0,563
0,766;-0,773;1439,382;19,973;0,563
0,772;-0,632;1463,153;20,800;0,563
0,779;-0,485;1492,909;21,852;0,563
0,786;-0,332;1516,331;22,658;0,563
0,800;0,000;1539,850;23,367;0,563
0,814;0,333;1544,667;23,365;0,563
0,828;0,649;1518,688;22,200;0,563
0,843;0,933;1463,151;19,930;0,563
0,866;1,295;1347,808;15,352;0,563
0,890;1,481;1154,164;7,905;0,563
0,890;1,481;1045,058;3,750;0,563
0,890;1,482;1029,222;3,675;0,563
0,890;1,483;1020,647;3,600;0,563
0,890;1,483;1012,377;3,562;0,563
0,890;1,483;1003,693;3,525;0,563
0,891;1,484;984,548;3,462;0,563
0,891;1,485;963,484;3,376;0,563
0,891;1,486;941,275;3,289;0,563
0,892;1,488;890,908;3,134;0,563
0,892;1,488;877,009;3,006;0,563
0,892;1,488;865,260;2,970;0,563
0,892;1,488;853,631;2,934;0,563
0,892;1,489;829,609;2,875;0,563
0,893;1,490;805,401;2,792;0,563
